,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,period_group,period_specific
174,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html,Megalosaurus,MEG-ah-low-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/megalo.jpg,9.0m,large theropod,carnivorous,"Mid Jurassic, 170-155 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Megalosauridae, Megalosaurinae",Ritgen (1826),bucklandii,,,,Mid Jurassic, 170-155 million years ago
175,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html,Melanorosaurus,me-lan-or-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Melanorosaurus.jpg,12.0m,sauropod,omnivorous,"Late Triassic, 227-221 million years ago",Lesotho,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Melanorosauridae",Haughton (1924),readi,,,,Late Triassic, 227-221 million years ago
176,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html,Metriacanthosaurus,met-ree-a-kan-tho-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Metriacanthosaurus.jpg,8.2m,large theropod,carnivorous,"Late Jurassic, 159-154 million years ago",Lesotho,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae",Walker (1964),parkeri,,,,Late Jurassic, 159-154 million years ago
177,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html,Microceratus,mike-row-ker-ah-tuss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Microceratops.jpg,0.5m,ceratopsian,herbivorous,"Late Cretaceous, 86-66 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Bohlin (1953),gobiensis,,,,Late Cretaceous, 86-66 million years ago
178,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html,Micropachycephalosaurus,mike-row-pak-ee-keff-ah-loh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Micropachycephalosaurus.jpg,0.6m,ceratopsian,herbivorous,"Late Cretaceous, 84-71 million years ago",Lesotho,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Pachycephalosauria",Dong (1978),hongtuyanensis,,,,Late Cretaceous, 84-71 million years ago
179,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html,Microraptor,MIKE-row-rap-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Microraptor.jpg,0.8m,small theropod,carnivorous,"Early Cretaceous, 125-122 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Paraves, Eumaniraptora, Dromaeosauridae","Xu, Zhou and Wang (2000)",zhaoianus,"small, sharp, pointed","other animals, insects",on 2 legs,Early Cretaceous, 125-122 million years ago
180,https://www.nhm.ac.uk/discover/dino-directory/minmi.html,Minmi,min-mie,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Minmi.jpg,3.0m,armoured dinosaur,herbivorous,"Early Cretaceous, 121-112 million years ago",China,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria",Molnar (1980),paravertebra,,,,Early Cretaceous, 121-112 million years ago
181,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html,Monolophosaurus,mono-Loh-foh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Monolophosaurus.jpg,5.7m,large theropod,carnivorous,"Mid Jurassic, 180-159 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria",Zhao and Currie (1993),jiangi,,,,Mid Jurassic, 180-159 million years ago
182,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html,Mononykus,mono-Nike-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Mononykus.jpg,1.0m,small theropod,unknown,"Late Cretaceous, 81-68 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae","Perle, Norell, Chiappe and Clark (1993)",olecranus,,,,Late Cretaceous, 81-68 million years ago
183,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html,Mussaurus,moos-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muss.jpg,3.0m,sauropod,herbivorous,"Late Triassic, 221-210 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Bonaparte and Vince (1979),patagonicus,,,,Late Triassic, 221-210 million years ago
184,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html,Muttaburrasaurus,MUT-a-BURR-a-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/muttab.jpg,7.0m,euornithopod,herbivorous,"Early Cretaceous, 110-100 million years ago",China,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Bartholomai and Molnar (1981),langdoni,,,,Early Cretaceous, 110-100 million years ago
185,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html,Nanshiungosaurus,nahn-shyung-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nanshiungosaurus.jpg,4.4m,large theropod,omnivorous,"Late Cretaceous, 84-71 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Dong (1979),brevispinus,,,,Late Cretaceous, 84-71 million years ago
186,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html,Nedoceratops,ned-o-ker-ah-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Diceratops.jpg,7.0m,ceratopsian,herbivorous,"Late Cretaceous, 67-65 million years ago",China,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Lull (1905),hatcheri,,,,Late Cretaceous, 67-65 million years ago
187,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html,Nemegtosaurus,Nem-egg-tow-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nemegtosaurus.jpg,13.0m,sauropod,herbivorous,"Late Cretaceous, 72-68 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Nemegtosauridae",Nowinski (1971),mongoliensis,,,,Late Cretaceous, 72-68 million years ago
188,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html,Neovenator,nee-oh-ve-nay-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neovenator.jpg,7.4m,large theropod,carnivorous,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Carcharodontosauridae","Hutt, Martill and Barker (1996)",salerii,,,,Early Cretaceous, 127-121 million years ago
189,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html,Neuquenosaurus,nayoo-ken-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Neuquenosaurus.jpg,10.0m,sauropod,herbivorous,"Late Cretaceous, 71-65 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae",Lydekker (1893),australis,,,,Late Cretaceous, 71-65 million years ago
190,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html,Nigersaurus,nee-zhayr-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nigersaurus.jpg,15.0m,sauropod,herbivorous,"Early Cretaceous, 121-99 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Rebbachisauridae","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson & Wilson (1999)",taqueti,,,,Early Cretaceous, 121-99 million years ago
191,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html,Nipponosaurus,nip-on-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nipponosaurus.jpg,,euornithopod,herbivorous,"Late Cretaceous, 89-84 million years ago",China,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Lambeosaurinae",Nagao (1936),sachalinensis,,,,Late Cretaceous, 89-84 million years ago
192,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html,Noasaurus,noh-ah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Noasaurus.jpg,1.0m,small theropod,carnivorous,"Late Cretaceous, 84-65 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria",Bonaparte and Powell (1980),leali,,,,Late Cretaceous, 84-65 million years ago
193,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html,Nodosaurus,no-doh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/nodo.jpg,5.0m,armoured dinosaur,herbivorous,"Early Cretaceous, 110-100 million years ago",China,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Nodosauridae",Marsh (1889),textilis,,,,Early Cretaceous, 110-100 million years ago
194,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html,Nomingia,noh-ming-ee-uh,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nomingia.jpg,1.6m,small theropod,omnivorous,"Late Cretaceous, 72-68 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Caenagnathidae","Barsbold, OsmÃ³lska, Watabe, Currie and Tsogtbaatar (2000)",gobiensis,,,,Late Cretaceous, 72-68 million years ago
195,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html,Nothronychus,noh-thron-i-kus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nothronychus.jpg,5.3m,large theropod,omnivorous,"Late Cretaceous, 94-89 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Kirkland and Wolfe (2001),mckinleyi,,,,Late Cretaceous, 94-89 million years ago
196,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html,Nqwebasaurus,n-qu-web-ah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nqwebasaurus.jpg,1.0m,small theropod,carnivorous,"Mid Jurassic, 159-132 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria","de Klerk, Forster, Sampson, Chinsamy and Ross (2000)",thwazi,,,,Mid Jurassic, 159-132 million years ago
197,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html,Omeisaurus,oh-mee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Omeisaurus.jpg,20.0m,sauropod,herbivorous,"Mid Jurassic, 169-159 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Young (1939),junghsiensis,,,,Mid Jurassic, 169-159 million years ago
198,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html,Opisthocoelicaudia,o-pis-tho-seel-i-cawd-ee-a,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Opisthocoelicaudia.jpg,12.0m,sauropod,herbivorous,"Late Cretaceous, 72-68 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia, Saltasauridae",Borsuk-Bialynicka  (1977),skarzynskii,,,,Late Cretaceous, 72-68 million years ago
199,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html,Ornitholestes,Or-nith-oh-LES-teez,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithol.jpg,2.0m,small theropod,carnivorous,"Late Jurassic, 150-144 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria",Osbourne (1933),hermanni,,,,Late Jurassic, 150-144 million years ago
200,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html,Ornithomimus,orn-ITH-oh-MEE-mus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithom.jpg,4.0m,large theropod,omnivorous,"Late Cretaceous, 74-65 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria, Ornithomimidae",Marsh (1890),velox,,,,Late Cretaceous, 74-65 million years ago
201,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html,Orodromeus,or-oh-DROM-ee-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/orodro.jpg,2.0m,euornithopod,herbivorous,"Late Cretaceous, 74 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Horner and Weishampel (1988),makelai,"horny beak, grinding cheek teeth",tough plant material,on 2 legs,Late Cretaceous, 74 million years ago
202,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html,Oryctodromeus,or-ik-tow-drohm-ee-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oryctodromeus.jpg,2.1m,euornithopod,herbivorous,"Late Cretaceous, 99-94 million years ago",USA,"Dinosauria, Ornithischia","Varricchio, Marin and Katsura (2007)",cubicularis,,,,Late Cretaceous, 99-94 million years ago
203,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html,Othnielia,oth-ni-ee-lee-a,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Othnielia.jpg,1.4m,euornithopod,herbivorous,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Marsh (1877),rex,,,,Late Jurassic, 154-142 million years ago
204,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html,Ouranosaurus,oo-RAH-noh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ourano.jpg,7.0m,euornithopod,herbivorous,"Early Cretaceous, 115-100 million years ago",USA,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Taquet (1976),nigeriensis,,,,Early Cretaceous, 115-100 million years ago
205,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html,Oviraptor,OH-vee-RAP-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oviraps.jpg,2.0m,small theropod,omnivorous,"Late Cretaceous, 85-75 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Oviraptorinae",Osborn (1924),philoceratops,"beak, no teeth","hard fruits, eggs, and possibly shellfish",on 2 legs,Late Cretaceous, 85-75 million years ago
206,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html,Pachycephalosaurus,pack-i-KEF-al-oh-sore-russ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachyceph.jpg,8.0m,euornithopod,herbivorous,"Late Cretaceous, 76-65 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala, Homalocephaloidea, Pachycephalosauridae",Brown and Schlaikjer (1943),wyomingensis,,,,Late Cretaceous, 76-65 million years ago
207,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html,Pachyrhinosaurus,pack-ee-RINE-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachyr.jpg,6.0m,ceratopsian,herbivorous,"Late Cretaceous, 76-74 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sternberg (1950),canadensis,,,,Late Cretaceous, 76-74 million years ago
208,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html,Panoplosaurus,pan-op-loh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Panoplosaurus.jpg,7.0m,armoured dinosaur,herbivorous,"Late Cretaceous, 79-75 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Nodosauridae",Lambe (1919),mirus,,,,Late Cretaceous, 79-75 million years ago
209,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html,Pantydraco,pant-ee-drak-oh,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pantydraco.jpg,3.0m,euornithopod,herbivorous,Early Jurassic,Mongolia,"Dinosauria, Saurischia","Galton, Yates and Kermack 2007 (2003)",caducus,,,,Early Jurassic,
210,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html,Paralititan,pa-ral-i-tie-tuhn,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Paralititan.jpg,28.0m,sauropod,herbivorous,"Late Cretaceous, 99-94 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia","Smith, Lamanna, Lacovara, Dodson, Smith, Poole, Giegengack and Attia (2001)",stromeri,,,,Late Cretaceous, 99-94 million years ago
211,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html,Parasaurolophus,pa-ra-saw-ROL-off-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parasaur.jpg,11.0m,euornithopod,herbivorous,"Late Cretaceous, 76-74 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Lambeosaurinae",Parks (1922),walkeri,,,,Late Cretaceous, 76-74 million years ago
212,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html,Parksosaurus,PARKS-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parkso.jpg,3.0m,euornithopod,herbivorous,"Late Cretaceous, 76-74 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Sternberg (1937),warrenae,,,,Late Cretaceous, 76-74 million years ago
213,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html,Patagosaurus,pat-ag-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Patagosaurus.jpg,18.0m,sauropod,herbivorous,"Mid Jurassic, 164-159 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Cetiosauridae",Bonaparte (1979),fariasi,,,,Mid Jurassic, 164-159 million years ago
214,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html,Pelicanimimus,pel-e-kan-i-mim-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pelicanimimus.jpg,2.0m,small theropod,carnivorous,"Early Cretaceous, 127-121 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria","PÃ©rez-Moreno, Sanz, Buscalioni, Moratalla, Ortega and Rasskin-Gutman (1994)",polyodon,,,,Early Cretaceous, 127-121 million years ago
215,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html,Pelorosaurus,pel-oh-ROW-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pelo.jpg,25.0m,sauropod,herbivorous,"Early Cretaceous, 125 million years ago",Mongolia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes",Mantell (1850),conybearei,,,,Early Cretaceous, 125 million years ago
216,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html,Pentaceratops,pent-ah-ker-ah-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pentaceratops.jpg,6.8m,ceratopsian,herbivorous,"Late Cretaceous, 76-74 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Osborn (1923),sternbergi,,,,Late Cretaceous, 76-74 million years ago
217,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html,Piatnitzkysaurus,pye-at-nits-key-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Piatnitzkysaurus.jpg,4.2m,large theropod,carnivorous,"Late Jurassic, 164-159 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Megalosauridae, Eustreptospondylinae",Bonaparte (1979),floresi,,,,Late Jurassic, 164-159 million years ago
218,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html,Pinacosaurus,pin-ak-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pinacosaurus.jpg,5.0m,armoured dinosaur,herbivorous,"Late Jurassic, 164-159 million years ago",Mongolia,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Ankylosauridae",Gilmore (1933),grangeri,,,,Late Jurassic, 164-159 million years ago
219,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html,Plateosaurus,plat-ee-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/plateo.jpg,7.0m,sauropod,herbivorous,"Late Triassic, 210 million years ago","France,Germany,Switzerland","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Meyer (1837),engelhardti,grinding teeth with a horny beak at the front,plant material,on 2 or 4 legs,Late Triassic, 210 million years ago
220,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,Podokesaurus,po-doh-kee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Podokesaurus.jpg,0.9m,small theropod,carnivorous,"Mid Jurassic, 195-180 million years ago","France,Germany,Switzerland","Dinosauria, Saurischia, Theropoda, Neotheropoda, Coelophysoidea",Talbot (1911),holyokensis,,,,Mid Jurassic, 195-180 million years ago
221,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,Poekilopleuron,peek-i-loh-ploor-on,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Poekilopleuron.jpg,9.0m,large theropod,carnivorous,"Mid Jurassic, 169-164 million years ago","France,Germany,Switzerland","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Megalosauridae, Megalosaurinae",Eudes-Deslongchamps (1838),bucklandii,,,,Mid Jurassic, 169-164 million years ago
222,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html,Polacanthus,pol-a-KAN-thus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/polac.jpg,5.0m,armoured dinosaur,herbivorous,"Early Cretaceous, 125 million years ago","France,Germany,Switzerland","Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria",Hulke (1881),foxii,,,,Early Cretaceous, 125 million years ago
223,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,Prenocephale,preen-oh-keff-ah-lee,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Prenocephale.jpg,2.4m,euornithopod,herbivorous,"Late Cretaceous, 80-65 million years ago","France,Germany,Switzerland","Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala, Homalocephaloidea, Pachycephalosauridae",MaryaÅska and OsmÃ³lska (1974),prenes,,,,Late Cretaceous, 80-65 million years ago
224,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,Probactrosaurus,proh-bak-troh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Probactrosaurus.jpg,6.0m,euornithopod,herbivorous,"Early Cretaceous, 121-99 million years ago","France,Germany,Switzerland","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Rozhdestvensky (1966),gobiensis,,,,Early Cretaceous, 121-99 million years ago
